path	family	owner	develop_authority	next_contract	resolution	tests	depends_on	reviewer	status
src/main/java/com/openggf/game/sonic3k/constants/Sonic3kZoneIds.java	S3K ROM zone identity	Sonic3kZoneIds	TOTAL_ZONE_COUNT=24 with scene/competition rows and zone 22/23 identities (d0adf796b; LevelPtrs).	Locked-on S&K-side predicate for giant rings and Super Emerald progression (82b096603; 6fe6b86a0).	Adopt develop IDs/count; retain isSkSideZone as zone >= 7 or zone == 4; keep zone 22 HPZ alias and zone 23 arena.	TestSonic3kNonlinearHpzProfile; TestSonic3kSSEntryRingFormation	Sonic3kZoneRegistry; SSEntry objects; data select	conflict_ledger_independent_review	reviewed
src/main/java/com/openggf/game/sonic3k/dataselect/S3kDataSelectProfile.java	S3K data-select policy	S3kDataSelectProfile	Exact exit transition EnterSS, fade $28, delay 6, one dispatch (dccea9ed0).	Keyed stock/mod-zone saves and registry-driven resolution (73fc42c2d).	Keep next payload/ZoneKey resolution; add develop exitTransition; align stock bounds to 24-row registry and reject non-playable rows through registry policy.	TestS3kDataSelectProfile; TestS3kDataSelectManager; TestS3kModZoneLifecycle	ZoneRegistry; S3kSavedZone; DataSelectExitTransition	conflict_ledger_independent_review	reviewed
src/main/java/com/openggf/game/sonic3k/events/Sonic3kLBZEvents.java	LBZ events/runtime	Sonic3kLBZEvents	Make_LevelSizeObj children execute first zero-accumulator entry in creation pass; no precharge/skip (237477f25; AllocateObjectAfterCurrent).	Big Arm targets, PLC, timed shake, three-worker state and rewindable late route (2dad85fc6).	Retain next APIs/state but remove creation precharge and marker-only skip; run newly allocated workers in the same ascending object pass.	TestSonic3kLbzBigArmTransitionBridge; TestSonic3kLbzRewindRoundTrip; final-boss route	LbzZoneRuntimeState; Big Arm event bridge	conflict_ledger_independent_review	reviewed
src/main/java/com/openggf/game/sonic3k/objects/AizEndBossInstance.java	AIZ2 boss/cutscene	AizEndBossInstance	BossDefeated waits $3F and (2*60)-1 plus button-before-bridge SST order (498f0e34e; 7ac42da93; Wait_FadeToLevelMusic).	Runtime-state publication, rewind and viewport-safe integration hooks (c29690969 plus next merges).	Keep next runtime-state/graph behavior; use develop two-stage timers and allocate button before bridge; publish actual slot relationship.	TestAizEndBossInstance; TestAiz2BossEndSequenceObjects; TestS3kAizEndBossGraphRewind; TestAizEndBossDebrisWidescreen	AizZoneRuntimeState; cutscene button/bridge; rewind graph	conflict_ledger_independent_review	reviewed
src/main/java/com/openggf/game/sonic3k/objects/AutoSpinObjectInstance.java	S3K traversal trigger	AutoSpinObjectInstance	Native CPU P2 in ROM fly/swim routine 4 is skipped, preserving its flight/carry owner (5d32b0a0e; Tails_CPU_routine).	Arbitrary participants with identity-stable crossing state across native-P2 promotion (27c03604b).	Retain next participant/state machinery; gate native-P2 crossing with isInRomFlySwimCpuRoutine while preserving state and object lifetime.	TestAutoSpinObjectInstance; TestFbzSharedObjectSubtypes; TestS3kUtilityMotionRewind	SidekickCpuController; ObjectPlayerParticipationPolicy	conflict_ledger_independent_review	reviewed
src/main/java/com/openggf/game/sonic3k/objects/HCZBreakableBarObjectInstance.java	HCZ bar capture	HCZBreakableBarObjectInstance	Release requires fresh A/B/C press from Ctrl_1 low pressed byte, never held input (4ca4c7c34).	Arbitrary-sidekick capture maps, promotion/demotion, cleanup and rewind state (9bfb67839).	Keep next CaptureState architecture; use isRawControllerJumpJustPressed for native and extension releases.	TestHCZBreakableBarObjectInstance; TestS3kHczWaterRushGraphRewind	ObjectPlayerQuery; RewindStateful	conflict_ledger_independent_review	reviewed
src/main/java/com/openggf/game/sonic3k/objects/HczMinibossInstance.java	HCZ miniboss	HczMinibossInstance	BossDefeated literal $3F and consumed install dispatch before first decrement (660fee183; loc_6ACA6).	Arbitrary-sidekick vortex cleanup, bubble subpixel motion and rocket/graph rewind (f73e79a97; 27c03604b).	Retain next participant/rewind graph; use BOSS_DEFEATED_WAIT=0x3F and pendingDefeatDispatch so countdown begins next pass.	TestHczMinibossMultiSidekick; TestHczMinibossVortexBubbleMotion; TestHczMinibossRocketTouchRewind	AbstractBossInstance; vortex controls; rewind graph	conflict_ledger_independent_review	reviewed
src/main/java/com/openggf/game/sonic3k/objects/S3kHiddenMonitorInstance.java	Hidden monitor range/position	S3kHiddenMonitorInstance	ROM word_8379E cumulative unsigned windows (7b436df12; Obj_HiddenMonitorMain).	RomWorldPositionedObject mutable coordinates for transition/mod placement offsets (7807060ea; 15accb4f4).	Retain mutable monitorX/Y and offset hook; use unsigned cumulative X [-$E,+$E) and Y [-$80,+$40) range helper.	TestS3kHiddenMonitorInstance; TestS3kUtilityObjectRewind; FBZ route tests	Signpost lookup; RomWorldPositionedObject	conflict_ledger_independent_review	reviewed
src/main/java/com/openggf/game/sonic3k/objects/Sonic3kInvisibleBlockObjectInstance.java	Invisible solid compatibility	Sonic3kInvisibleBlockObjectInstance	ROM object-code-pointer high word $0001 for sidekick interact behavior (b3bfbcb27; Obj_InvisibleBlock; sub_13EFC).	Mutable RomWorldPositionedObject coordinates for placement offsets and FBZ transitions (15accb4f4 plus next merges).	Implement both interfaces; use mutable x/y for debug and solid geometry; preserve romObjectCodePointerHighWord=0x0001 and shifted rewind position.	TestSonic3kInvisibleBlockObjectInstance; TestS3kInvisibleBlockRewindGenericRestore; TestFbzAct2TraversalPreboss	RomObjectCodePointerProvider; RomWorldPositionedObject; rewind recreation	conflict_ledger_independent_review	reviewed
src/main/java/com/openggf/game/sonic3k/objects/Sonic3kSSEntryFlashObjectInstance.java	Giant-ring transition	Sonic3kSSEntryFlashObjectInstance	INIT-only first dispatch, 33 Obj_Wait ticks, Save_Level_Data2 from flash position and true $1701 restart (25f92dbf7; 8a329ca02; 83c7c990b; 6c8b6c208; 3d4247c7b).	S3kBigRingTransitionIntent, parent rewind relink and Super Emerald progression (1b65b0769).	Keep next intent as durable carrier but drive through develop timing/save semantics; restart zone 23 act 1 for sanctuary route, otherwise ordinary special stage; avoid duplicate SFX.	TestSonic3kSSEntryRingFormation; TestS3kSsEntryFlashGraphRewind; TestRewindFixS3KBatch2Codecs	Sonic3kSSEntryRingObjectInstance; BigRingReturnState; rewind identity	conflict_ledger_independent_review	reviewed
src/main/java/com/openggf/game/sonic3k/objects/Sonic3kSSEntryRingObjectInstance.java	Giant-ring formation/touch	Sonic3kSSEntryRingObjectInstance	Consumed loc_85B02 release dispatch, exact SSEntry_CheckLevel predicate and delayed save in flash (5c1e33313; 821de9edd; 9f277d569; 4c55bba42).	Super Emerald palettes, time-attack gate, transition intent and rewind-safe parent identity (1b65b0769; eb13f76d7; 6fe6b86a0; f3027ea12).	Retain next palette/time-attack/intent behavior; adopt consumed release frame and zone < 7 && zone != 4 predicate; award 50 only on ROM conditions; defer save.	TestSonic3kSSEntryRingFormation; TestS3kCnzLateSSEntryRingPlacement; TestS3kSsEntryFlashGraphRewind	SSEntryFlash; palette owners; ObjectManager; player query	conflict_ledger_independent_review	reviewed
src/test/java/com/openggf/TestGameLoop.java	tests	GameLoop orchestration tests	16865265a exit ratchet; dccea9ed0 host transition audio before ROM fade	c29690969 recording boundaries; 27bedd900 standalone typed master-title handling	Retain next recording-row and standalone-handler coverage plus develop host-transition-audio ordering; adapt setup only to merged APIs	TestGameLoop; TestAudioPresentationBoundary	GameLoop; audio; data-select owners	conflict_ledger_independent_review	reviewed
src/test/java/com/openggf/game/rewind/TestRewindArchitectureGuard.java	guards	rewind architecture baselines	ccaf39512 bridge, MGZ, and LBZ transient triage	eb13f76d7 HPZ and Hyper rewind sidecars	Recount merged symbols; retain each parent entry only when its override or annotation remains; never widen or keep removed-symbol entries	TestRewindArchitectureGuard; rewind coverage, reference, static-state, and focused graph tests	final Task 7 and Task 8 object graph	conflict_ledger_independent_review	reviewed
src/test/java/com/openggf/game/rewind/TestRewindBenchmarkSizeEstimator.java	tests	rewind structural-size estimator	2bb652022 current CameraSnapshot shape	a21824bf0 and 15accb4f4 expanded S3K snapshot coverage	Construct the final merged CameraSnapshot field order and preserve all estimator assertions; do not emulate both constructors	TestRewindBenchmarkSizeEstimator	CameraSnapshot merged schema	conflict_ledger_independent_review	reviewed
src/test/java/com/openggf/game/sonic2/dataselect/TestS2DataSelectProfile.java	tests	S2 host data-select profile	dccea9ed0 native S2 entry cue and fade cadence	2f3b0d016 keyed mod-zone saves, codec, canonicalization, and resolver	Union native exit cadence with keyed mod-zone persistence and host resolver coverage	TestS2DataSelectProfile; TestGameLoop data-select cases	S2 profile and controller; audio	conflict_ledger_independent_review	reviewed
src/test/java/com/openggf/game/sonic2/objects/TestTornadoObjectInstance.java	tests	S2 ObjC5 Tornado lifecycle	d1e85524f WFZ SST publication; 10bdfd156 SCZ manual-checkpoint and ROM cadence	e07e20b67 and db2ff657a arbitrary-team choreography	Union team lock, move, jump, seat, and unload authority with standing, airborne, rewind, leader-wait, and vertical-timer SST assertions	TestTornadoObjectInstance; TestS2CompleteEmeraldRunChain; TestS2CompleteEmeraldRunPrefix	TornadoObjectInstance; ObjectManager; team and rewind APIs	conflict_ledger_independent_review	reviewed
src/test/java/com/openggf/game/sonic2/specialstage/Sonic2SpecialStageBootstrapCadenceTest.java	tests	S2 special-stage scheduler	a69c257a2 removes fitted lag model; c83b3f794 restores live slowdown	276ee9a7 inherited lag-skipped input and raw-edge coverage	Use develop live/external pacing and deferred/current publication authority; retain compatible next input-edge assertions without trace-outcome scheduling	Sonic2SpecialStageBootstrapCadenceTest twice; S2 special-stage trace and determinism tests	S2 special-stage manager; run-chain timing	conflict_ledger_independent_review	reviewed
src/test/java/com/openggf/game/sonic3k/TestS3kRuntimeStateReadGuard.java	guards	S3K typed zone runtime state	83c7c990b Save_Level_Data2 moves to SSEntryFlash_GoSS	eb13f76d7 Super-Emerald ring intent coverage	Guard ring and flash against direct event-manager reads; require Sonic3kSSEntryFlashObjectInstance.saveBigRingReturn and services().zoneRuntimeState()	TestS3kRuntimeStateReadGuard; TestSonic3kSSEntryRingFormation	SSEntry ring, flash, and zone runtime state	conflict_ledger_independent_review	reviewed
src/test/java/com/openggf/game/sonic3k/events/TestSonic3kAIZEvents.java	tests	AIZ event lifecycle	7e8f4b68b and 32ada960d fire-music restoration; 7d88e8b6f fire timing	f7bc8ce4b AIZ2 splash SST and slot timeline	Union splash-child lifecycle and exact free-slot timing with fire-music restoration across escape timer and act reload	TestSonic3kAIZEvents; AIZ headless and trace selectors	AIZ events; audio; ObjectManager	conflict_ledger_independent_review	reviewed
src/test/java/com/openggf/game/sonic3k/objects/TestAizVineHandleLogic.java	tests	AIZ ride-vine object	f33f132c1 whole spin_dash_flag clear; 54cdd7271 offscreen rider release	85ceec561 independent main plus three-sidekick ownership	Union multi-player identity and replacement cleanup with byte-clear and on/offscreen render-flag release semantics	TestAizVineHandleLogic; TestAizSpikedLogGraphRewind or owning vine graph test	AIZ vine; arbitrary team; rewind identity	conflict_ledger_independent_review	reviewed
src/test/java/com/openggf/game/sonic3k/objects/TestSonic3kSSEntryRingFormation.java	tests	S3K ring, flash, and Super-Emerald routing	5c1e33313 offscreen release frame; 9f277d569 S and K-half routing	 eb13f76d7 and 1b65b0769 Super-Emerald sanctuary and rewind; f3027ea12 time-attack gate	Preserve next time-attack, parent identity, palette, flash, and zone-set cases; integrate develop release-frame and all-emerald routing under final HPZ-registration and zone predicates	TestSonic3kSSEntryRingFormation; TestS3kRuntimeStateReadGuard; HPZ graph rewind	BigRingReturnState; ring and flash; zone provider	conflict_ledger_independent_review	reviewed
src/test/java/com/openggf/level/TestLevelSeamlessTransitionExecutor.java	tests	seamless transition executor	33d6ea73e consumeActTransitionRewindBoundaryDuringFrame and advanceGlobalOscillation	21b1f40a5 inherited mutation, failure, and transition-type coverage	Use merged API with develop rewind-boundary consumption and oscillator owner while preserving next transition assertions	TestLevelSeamlessTransitionExecutor; rewind transition tests	LevelManager; transition coordinator; oscillator	conflict_ledger_independent_review	reviewed
src/test/java/com/openggf/level/objects/TestObjectPhysicsStandardizationGuard.java	guards	object source ratchets	ca67b11a9 raw add budget 10 and OOZ updatePrePhysics owner; ccaf39512 guard triage	c29690969 provider and arbitrary-team surface assertions	Recount merged tree; keep exact or tighter budgets and moved OOZ owner plus valid next provider assertions; never widen to a parent maximum	TestObjectPhysicsStandardizationGuard under fresh -Pguards	Task 7 and Task 8 object production tree	conflict_ledger_independent_review	reviewed
src/test/java/com/openggf/level/objects/TestSidekickTouchHurtAnimationOwnership.java	tests	solid push-release animation ownership	0579adc14 deletes fitted object pin and ports generic solid push-release tail	58c994daa inherited spiked-log object-specific assertion	Delete file; preserve contract through generic ObjectSolidContactController behavior, TestScriptedVelocityAnimationProfile, and affected trace evidence; do not restore override	TestScriptedVelocityAnimationProfile; touch and solid controller tests; AIZ, MGZ, and S2 affected traces	ObjectSolidContactController; ObjectTouchResponseController; animation profile	conflict_ledger_independent_review	reviewed
src/test/java/com/openggf/tests/TestArchitecturalSourceGuard.java	guards	cross-cutting source architecture	3c677fbd6 object-loop collaborator; 92cb260b4 transition policy coverage; ccaf39512 ratchets	5e34af779 transient handoff delegation; bb413eb87 next size ratchets	Union collaborator, S3K transition runtime-art policy, transient oscillation and respawn handoff, and mod-composition assertions; re-ratchet exact merged sizes	TestArchitecturalSourceGuard under fresh -Pguards	final merged production tree	conflict_ledger_independent_review	reviewed
src/test/java/com/openggf/tests/TestBuildToolingGuard.java	guards	executable build and policy contract	78c1ba833 direct launcher; 3fabe6cb9 skip classification; 16fda38bb isolation; 325e8be61 manifests	b6e320958 destination-aware Mod API and candidate CI; f53942a33 no disassembly runtime dependencies	Exact union of next destination checks and develop session-root, lifecycle, launcher, guard split, manifest, skip, and merge-exemption checks; update expected config text without deleting assertions	TestBuildToolingGuard alone under -Pguards; shell and PowerShell parity	validate-policy.sh; workflows; pom.xml; tools/testing/README.md	conflict_ledger_independent_review	reviewed
src/test/java/com/openggf/tests/TestTitleCardObjectExecution.java	tests	ROM title-card cadence	bcceca6c2 ROM release handoffs; 9b69d2513 counter increment after WaitForVint	c29690969 module and fixture compatibility	Use develop timing: no level-object pass during slide-in, S2 26 pre-main-loop passes, S1 prelude then unlocked pass next iteration; retain compatible next fixture setup	TestTitleCardObjectExecution with all three ROMs; title-card focused tests	GameLoop; title-card managers; ObjectManager	conflict_ledger_independent_review	reviewed
src/test/java/com/openggf/tests/trace/runs/AbstractRunChainTest.java	tests	complete-chain production harness	a69c257a2 no fitted lag; 23a3ef53f and 88f826b74 payload cleanup; 13725e85f and ba5f776e5 boundary ownership; ed0419fc0 session reports	21b1f40a5 inherited user-recording applyPassInput, afterPass, and verification seams	Start from develop represented-row, bridge, timing-gap, payload-release, tail-report, occupancy, and admission lifecycle; port only still-consumed next recording seams	all complete-chain classes twice; hardware timing authority guard; run-chain report tests	Task 7 and Task 8 lifecycle; timing port; session report roots	conflict_ledger_independent_review	reviewed
